id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1,2024,Luka Doncic,70,37.5,33.9,9.2,9.8,0.5,1.4
2,2024,Giannis Antetokounmpo,73,35.2,30.4,11.5,6.5,1.1,1.2
3,2024,Shai Gilgeous-Alexander,75,34.0,30.1,5.5,6.2,0.9,2.0
4,2024,Jalen Brunson,77,35.4,28.7,3.6,6.7,0.2,0.9
5,2024,Kevin Durant,75,37.2,27.1,6.6,5.0,1.2,0.9
6,2024,Devin Booker,68,36.0,27.1,4.5,6.9,0.4,0.9
7,2024,Jayson Tatum,74,35.7,26.9,8.1,4.9,0.6,1.0
8,2024,De'Aaron Fox,74,35.9,26.6,4.6,5.6,0.4,2.0
9,2024,Stephen Curry,74,32.7,26.4,4.5,5.1,0.4,0.7
10,2024,Nikola Jokic,79,34.6,26.4,12.4,9.0,0.9,1.4
11,2024,Tyrese Maxey,70,37.5,25.9,3.7,6.2,0.5,1.0
12,2024,Anthony Edwards,79,35.1,25.9,5.4,5.1,0.5,1.3
13,2024,LeBron James,71,35.3,25.7,7.3,8.3,0.5,1.3
14,2024,Kyrie Irving,58,35.0,25.6,5.0,5.2,0.5,1.3
15,2024,Anthony Davis,76,35.5,24.7,12.6,3.5,2.3,1.2
16,2024,Damian Lillard,73,35.3,24.3,4.4,7.0,0.2,1.0
17,2024,DeMar DeRozan,79,37.8,24.0,4.3,5.3,0.6,1.1
18,2024,Kawhi Leonard,68,34.3,23.7,6.1,3.6,0.9,1.6
19,2024,Jaylen Brown,70,33.5,23.0,5.5,3.6,0.5,1.2
20,2024,Zion Williamson,70,31.5,22.9,5.8,5.0,0.7,1.1
21,2024,Cade Cunningham,62,33.5,22.7,4.3,7.5,0.4,0.9
22,2024,Paul George,74,33.8,22.6,5.2,3.5,0.5,1.5
23,2024,Paolo Banchero,80,35.0,22.6,6.9,5.4,0.6,0.9
24,2024,Jaren Jackson Jr.,66,32.2,22.5,5.5,2.3,1.6,1.2
25,2024,Dejounte Murray,78,35.7,22.5,5.3,6.4,0.3,1.4
26,2024,Cam Thomas,66,31.4,22.5,3.2,2.9,0.2,0.7
27,2024,Kyle Kuzma,70,32.6,22.2,6.6,4.2,0.7,0.5
28,2024,Karl-Anthony Towns,62,32.7,21.8,8.3,3.0,0.7,0.7
29,2024,Pascal Siakam,80,33.2,21.7,7.1,4.3,0.3,0.8
30,2024,Victor Wembanyama,71,29.7,21.4,10.6,3.9,3.6,1.2
31,2024,Jamal Murray,59,31.5,21.2,4.1,6.5,0.7,1.0
32,2024,Alperen Sengun,63,32.5,21.1,9.3,5.0,0.7,1.2
33,2024,Miles Bridges,69,37.4,21.0,7.3,3.3,0.5,0.9
34,2024,Brandon Ingram,64,32.9,20.8,5.1,5.7,0.6,0.8
35,2024,Jimmy Butler III,60,34.0,20.8,5.3,5.0,0.3,1.3
36,2024,RJ Barrett,58,31.7,20.2,5.4,3.3,0.4,0.5
37,2024,Tyrese Haliburton,69,32.2,20.1,3.9,10.9,0.7,1.2
38,2024,CJ McCollum,66,32.7,20.0,4.3,4.6,0.6,0.9
39,2024,Scottie Barnes,60,34.9,19.9,8.2,6.1,1.5,1.3
40,2024,Terry Rozier,61,33.4,19.8,4.0,5.6,0.3,1.0
41,2024,Franz Wagner,72,32.5,19.7,5.3,3.7,0.4,1.1
42,2024,Jalen Green,82,31.7,19.6,5.2,3.5,0.3,0.8
43,2024,Mikal Bridges,82,34.8,19.6,4.5,3.6,0.4,1.0
44,2024,Devin Vassell,68,33.1,19.5,3.8,4.1,0.3,1.1
45,2024,Domantas Sabonis,82,35.7,19.4,13.7,8.2,0.6,0.9
46,2024,Bam Adebayo,71,34.0,19.3,10.4,3.9,0.9,1.1
47,2024,Coby White,79,36.5,19.1,4.5,5.1,0.2,0.7
48,2024,Jalen Williams,71,31.3,19.1,4.0,4.5,0.6,1.1
49,2024,Collin Sexton,78,26.6,18.7,2.6,4.9,0.2,0.8
50,2024,Nikola Vucevic,76,34.3,18.0,10.5,3.3,0.8,0.7
51,2024,D'Angelo Russell,76,32.7,18.0,3.1,6.3,0.5,0.9
