id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1,2024,Luka Dončić,70,37.49,33.86,9.24,9.8,0.54,1.41
2,2024,Shai Gilgeous-Alexander,75,34.04,30.05,5.53,6.2,0.89,2.0
3,2024,Giannis Antetokounmpo,73,35.16,30.44,11.52,6.52,1.08,1.19
4,2024,Jalen Brunson,77,35.4,28.73,3.61,6.74,0.17,0.91
5,2024,Nikola Jokić,79,34.65,26.39,12.35,8.96,0.86,1.37
6,2024,Anthony Edwards,79,35.06,25.94,5.44,5.13,0.53,1.28
7,2024,Kevin Durant,75,37.21,27.09,6.6,5.04,1.21,0.92
8,2024,Jayson Tatum,74,35.74,26.85,8.12,4.92,0.58,1.01
9,2024,De'Aaron Fox,74,35.93,26.57,4.59,5.65,0.42,2.03
10,2024,Stephen Curry,74,32.72,26.43,4.46,5.12,0.38,0.73
11,2024,DeMar DeRozan,79,37.84,24.01,4.3,5.33,0.57,1.14
12,2024,Anthony Davis,76,35.53,24.68,12.64,3.5,2.34,1.2
13,2024,Devin Booker,68,35.99,27.07,4.53,6.94,0.41,0.9
14,2024,LeBron James,71,35.27,25.66,7.3,8.3,0.54,1.25
15,2024,Tyrese Maxey,70,37.51,25.94,3.69,6.19,0.47,0.99
16,2024,Paolo Banchero,80,34.99,22.55,6.92,5.39,0.59,0.89
17,2024,Damian Lillard,73,35.33,24.32,4.38,6.96,0.25,0.99
18,2024,Dejounte Murray,78,35.68,22.47,5.33,6.44,0.31,1.42
20,2024,Pascal Siakam,39,34.72,22.18,6.31,4.87,0.26,0.82
21,2024,Pascal Siakam,41,31.78,21.27,7.78,3.71,0.37,0.76
22,2024,Paul George,74,33.81,22.58,5.24,3.54,0.5,1.53
23,2024,Kawhi Leonard,68,34.26,23.72,6.12,3.59,0.87,1.63
24,2024,Jaylen Brown,70,33.47,23.0,5.53,3.56,0.53,1.19
25,2024,Jalen Green,82,31.72,19.63,5.16,3.55,0.34,0.8
26,2024,Mikal Bridges,82,34.8,19.59,4.54,3.65,0.37,0.99
27,2024,Zion Williamson,70,31.53,22.87,5.8,5.03,0.67,1.1
28,2024,Domantas Sabonis,82,35.71,19.43,13.66,8.21,0.59,0.9
29,2024,Kyle Kuzma,70,32.59,22.19,6.63,4.23,0.7,0.53
30,2024,Victor Wembanyama,71,29.66,21.44,10.63,3.86,3.58,1.24
31,2024,Coby White,79,36.47,19.1,4.53,5.13,0.23,0.67
32,2024,Kyrie Irving,58,35.0,25.64,5.0,5.16,0.48,1.28
33,2024,Jaren Jackson Jr.,66,32.18,22.52,5.53,2.33,1.61,1.21
34,2024,Cam Thomas,66,31.44,22.45,3.24,2.91,0.24,0.68
